intent_and_text
"wrong amount of cash received,Why did I only receive a partial amount of what I tried to withdraw?"
"wrong amount of cash received,my atm transaction was wrong"
"wrong amount of cash received,why did i only get 20.00"
"wrong amount of cash received,Why is my cash request and the amount I received different?"
"wrong amount of cash received,I tried to withdraw $100, all it gave me was $20."
"wrong amount of cash received,The ATM didn't give me enough money."
"wrong amount of cash received,When I went to withdraw cash today the ATM gave me the wrong amount of cash. The app is showing a larger amount."
"wrong amount of cash received,I didn't get the all the cash i wanted from the atm"
"wrong amount of cash received,I received $20 but I entered $100"
"wrong amount of cash received,Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?"
"wrong amount of cash received,Did a WD earlier at an ATM.  The amount showing in the App is more than I got though."
"wrong amount of cash received,I didn't get the correct amount of money from the ATM machine"
"wrong amount of cash received,Some cash was missing at ATM."
"wrong amount of cash received,I didn't get all the cash I asked for"
"wrong amount of cash received,I tried to withdraw $100 but only got $20. What happened?"
"wrong amount of cash received,how come when i asked for 100 it only gave me 20.00 in the app"
"wrong amount of cash received,Asked for $100 but only got $20. Why would this happen?"
"wrong amount of cash received,I wanted to withdraw $100 from the ATM but I only got $20"
"wrong amount of cash received,I got less money than I asked for."
"wrong amount of cash received,Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through."
"wrong amount of cash received,The cash I wanted wasn't there."
"wrong amount of cash received,I requested a higher amount for my cash withdrawal"
"wrong amount of cash received,The amount of cash I received did not match the amount I requested"
"wrong amount of cash received,The ATM didn't give me the full requested amount"
"wrong amount of cash received,The amount of cash I received was not the full amount"
"wrong amount of cash received,How can I request cash back? The ATM just gave me the wrong amount that I've been charged though..."
"wrong amount of cash received,I was only given $20 after trying to withdraw $100"
"wrong amount of cash received,I received less cash than the amount I specified in the ATM."
"wrong amount of cash received,I went tot the ATM earlier today and didn't realize this till now but I did not get all the money I requested.  I believe my account was charged for 100 but I only got 80.  Is there any way we can solve this problem?"
"wrong amount of cash received,I got less cash than what I specified at the ATM."
"wrong amount of cash received,Why did I not get the amount of money I requested?"
"wrong amount of cash received,I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?"
"wrong amount of cash received,I got $20 when I should've gotten $100"
"wrong amount of cash received,How can I request cash back? The ATM gave me the wrong amount that I've been charged though..."
"wrong amount of cash received,I didn't receive the amount of cash I requested for the ATM."
"wrong amount of cash received,my cash balance less than what I thought"
"wrong amount of cash received,It didn't give me my cash"
"wrong amount of cash received,It kept my cash"
"wrong amount of cash received,I only got $20 of the $100 that I attempted to withdraw."
"wrong amount of cash received,Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw."
"wrong amount of cash received,I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now!"
"wrong amount of cash received,HELP! I tried to get cash and it gave me some, but not the right amount!"
"wrong amount of cash received,I am calling because the ATM didn't give me the right amount of cash, but my app shows the actual amount I wanted to withdraw. What should I do to get my money back?"
"wrong amount of cash received,Why didn't I receive the right amount of cash?"
"wrong amount of cash received,Why didn't I receive the right amount of cash at the ATM?"
"wrong amount of cash received,I received the wrong amount of cash back"
"wrong amount of cash received,Why did I only get $20 now the full amount I wanted?"
"wrong amount of cash received,The amount of cash I selected to withdraw is different than what I received."
"wrong amount of cash received,What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct."
"wrong amount of cash received,What do I need to do to request cash back? The ATM actually just gave me the wrong amount. The app I actually chose the right amount."
"wrong amount of cash received,I was just giving the wrong amount by the ATM. How do I request cash back at this point? The app is showing the amount that I actually requested even though that's not what I got."
"wrong amount of cash received,I normally don't use ATMs, but I was in a rush today and had to withdraw some cash. The ATM gave me the wrong amount of money and now my app is not showing the same amount as it should. What do I do?"
"wrong amount of cash received,I received incorrect amount of cash from an ATM today. It was more than I wanted. What do I do now?"
"wrong amount of cash received,ATM is broken. It did not give me the full amount (30 pounds.)  I'm standing here with only 10 pounds and it's telling me it gave me 30 pounds. I need assistance now!"
"wrong amount of cash received,Why didn't the ATM give me all my money"
"wrong amount of cash received,I did not get the right amount of cash from the ATM."
"wrong amount of cash received,Why did I get less from the ATM?"
"wrong amount of cash received,The ATM only gave me 10 pounds when I withdrew 30. What do I do?"
"wrong amount of cash received,Machines make mistakes too! The ATM gave me the wrong amount of money. Too much!"
"wrong amount of cash received,I could only take the amount of money that was available to me which was less then I expected."
"wrong amount of cash received,I was given less cash then I wanted."
"wrong amount of cash received,Hello, I didn't receive the right amount on my ATM transaction,  the app shows the correct amount how can we fix this"
"wrong amount of cash received,I did not receive my full withdrawal amount"
"wrong amount of cash received,I received a different amount of cash than what I entered."
"wrong amount of cash received,I only received $20, but I requested $100."
"wrong amount of cash received,Help, your app is showing a larger WD than I actually did earlier at an ATM."
"wrong amount of cash received,I think something went wrong, I didn't get the right amount."
"wrong amount of cash received,What do I do if I got the wrong amount at the ATM?"
"wrong amount of cash received,I did not receive the right amount of cash I requested"
"wrong amount of cash received,I attempted to withdraw some money from an ATM this morning and received the wrong amount. Your app says I have enough money available in the account. Can someone tell me what's wrong?"
"wrong amount of cash received,What happens if the ATM doesn't give the right amount of money?"
