intent_and_text
"wrong amount of cash received,Why did I only receive a partial amount of what I tried to withdraw?"
"wrong amount of cash received,my atm transaction was wrong"
"wrong amount of cash received,why did i only get 20.00"
"wrong amount of cash received,Why is my cash request and the amount I received different?"
"wrong amount of cash received,I tried to withdraw $100, all it gave me was $20."
"wrong amount of cash received,The ATM didn't give me enough money."
"wrong amount of cash received,When I went to withdraw cash today the ATM gave me the wrong amount of cash. The app is showing a larger amount."
"wrong amount of cash received,I didn't get the all the cash i wanted from the atm"
"wrong amount of cash received,I received $20 but I entered $100"
"wrong amount of cash received,Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?"
"wrong amount of cash received,Did a WD earlier at an ATM.  The amount showing in the App is more than I got though."
"wrong amount of cash received,I didn't get the correct amount of money from the ATM machine"
"wrong amount of cash received,Some cash was missing at ATM."
"wrong amount of cash received,I didn't get all the cash I asked for"
"wrong amount of cash received,I tried to withdraw $100 but only got $20. What happened?"
"wrong amount of cash received,how come when i asked for 100 it only gave me 20.00 in the app"
"wrong amount of cash received,Asked for $100 but only got $20. Why would this happen?"
"wrong amount of cash received,I wanted to withdraw $100 from the ATM but I only got $20"
"wrong amount of cash received,I got less money than I asked for."
"wrong amount of cash received,Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through."
